provider_state,billing_class,negotiated_rate
MI,institutional,19206.5
MI,institutional,19584.97
MI,institutional,30407.84
MI,institutional,32926.73
MI,institutional,74355.86
MI,institutional,78141.72
MI,institutional,95698.82
TX,institutional,601.0
TX,institutional,601.0
TX,institutional,601.0
CA,institutional,6141.0
CA,institutional,6141.0
CA,institutional,6141.0
CA,institutional,6141.0
CA,institutional,6141.0
CA,institutional,6141.0
CA,institutional,73880.0
IA,institutional,361.35
IA,institutional,838.77
IA,institutional,6615.55
IA,institutional,361.35
IA,institutional,838.77
IA,institutional,6615.55
IA,institutional,361.35
IA,institutional,838.77
IA,institutional,6615.55
IA,institutional,361.35
IA,institutional,838.77
IA,institutional,6615.55
IA,institutional,361.35
IA,institutional,838.77
IA,institutional,6615.55
IA,institutional,537.08
IA,institutional,1246.67
IA,institutional,9832.7
LA,institutional,5828.32
LA,institutional,6945.93
LA,institutional,7829.67
LA,institutional,12217.04
LA,institutional,30595.32
LA,institutional,39562.41
TX,institutional,0.0
TX,institutional,3134.49
TX,institutional,5513.16
TX,institutional,6688.13
TX,institutional,20475.04
TX,institutional,46133.57
TX,institutional,51450.0
CA,institutional,131000.0
OH,institutional,11273.56
OH,institutional,13435.32
OH,institutional,15144.71
OH,institutional,23631.08
OH,institutional,40158.0
OH,institutional,59179.68
OH,institutional,76524.47
PA,institutional,14573.53
PA,institutional,17368.09
PA,institutional,19577.84
PA,institutional,30548.34
PA,institutional,76502.66
PA,institutional,98924.59
AR,institutional,2922.0
TX,institutional,400.0
TX,institutional,400.0
TX,institutional,400.0
PA,institutional,19692.0
PA,institutional,25755.0
PA,institutional,39139.0
PA,institutional,99658.0
PA,institutional,115736.0
TX,institutional,0.0
TX,institutional,855.0
TX,institutional,1612.0
TX,institutional,2348.51
TX,institutional,6643.95
TX,institutional,8410.66
TX,institutional,10541.98
TX,institutional,11446.86
TX,institutional,13641.85
TX,institutional,15377.52
TX,institutional,18900.0
TX,institutional,23994.35
TX,institutional,56171.79
TX,institutional,60089.4
TX,institutional,77700.82
MI,institutional,473.27
MI,institutional,1564.1
MI,institutional,2438.88
MI,institutional,4363.06
MI,institutional,4814.75
OK,institutional,5035.0
OK,institutional,10341.0
OK,institutional,16746.0
LA,institutional,4274.0
LA,institutional,6318.73
LA,institutional,7122.67
LA,institutional,11113.87
LA,institutional,27832.64
LA,institutional,35990.03
MI,institutional,1564.1
TX,institutional,450.0
TX,institutional,450.0
TX,institutional,450.0
OH,institutional,1143.0
TX,institutional,45.0
TX,institutional,45.0
TX,institutional,45.0
TX,institutional,45.0
TX,institutional,45.0
TX,institutional,45.0
TX,institutional,45.0
TX,institutional,45.0
TX,institutional,45.0
TX,institutional,2305.0
TX,institutional,1100.0
TX,institutional,1100.0
TX,institutional,1100.0
TX,institutional,0.0
TX,institutional,3959.12
TX,institutional,3985.48
TX,institutional,4802.89
TX,institutional,33129.48
OH,institutional,10868.0
MI,institutional,1564.1
MI,institutional,2438.88
MI,institutional,3149.33
MI,institutional,4363.06
MI,institutional,4814.75
TX,institutional,250.0
TX,institutional,250.0
TX,institutional,250.0
MI,institutional,384.45
MI,institutional,1564.1
MI,institutional,3149.33
MI,institutional,4363.06
MI,institutional,4814.75
TX,institutional,450.0
TX,institutional,450.0
TX,institutional,450.0
NM,institutional,6733.0
AZ,institutional,22889.0
AZ,institutional,59087.0
TX,institutional,0.0
OH,institutional,9787.0
OH,institutional,16853.94
OH,institutional,18998.28
OH,institutional,29644.01
OH,institutional,74237.94
OH,institutional,95996.11
TX,institutional,0.0
TX,institutional,2692.85
TX,institutional,26009.19
AL,institutional,850.0
VA,institutional,14061.0
MI,institutional,1564.1
MS,institutional,4984.0
LA,institutional,12693.0
LA,institutional,21982.4
LA,institutional,24779.24
LA,institutional,38664.35
LA,institutional,96827.72
LA,institutional,125206.66
TX,institutional,400.0
TX,institutional,400.0
TX,institutional,400.0
TX,institutional,400.0
TX,institutional,400.0
TX,institutional,400.0
TX,institutional,400.0
TX,institutional,400.0
TX,institutional,400.0
TX,institutional,400.0
TX,institutional,400.0
TX,institutional,400.0
TX,institutional,400.0
TX,institutional,400.0
TX,institutional,400.0
OR,institutional,7500.0
TX,institutional,0.0
TX,institutional,2692.85
TX,institutional,26009.19
TX,institutional,0.0
TX,institutional,1000.0
TX,institutional,3191.22
TX,institutional,4255.13
TX,institutional,5161.98
TX,institutional,21091.88
TX,institutional,35606.45
TX,institutional,53000.0
TX,institutional,450.0
TX,institutional,450.0
TX,institutional,450.0
TX,institutional,400.0
TX,institutional,400.0
TX,institutional,400.0
IA,institutional,595.65
IA,institutional,1382.63
IA,institutional,5072.88
IA,institutional,9680.0
IA,institutional,10905.09
IA,institutional,11829.48
